titulo_usuario,titulo_corpus
300,300
Adiós Bafana,Adiós Bafana
Bienvenidos a Collinwood,Bienvenidos a Collinwood
Cero en conducta,Cero en conducta
Corazón salvaje,Corazón salvaje
"Cuanto más, ¡mejor!","Cuanto más, ¡mejor!"
Desaparecida,Desaparecida
Durmiendo con su enemigo,Durmiendo con su enemigo
El gran golpe,El gran golpe
El juego del halcón,El juego del halcón
El rey león,El rey león
El señor de los anillos: La comunidad del anillo,El señor de los anillos: La comunidad del anillo
El único,El único
Elizabethtown,Elizabethtown
Fahrenheit 451,Fahrenheit 451
L.A. Confidential,L.A. Confidential
La ciencia del sueño,La ciencia del sueño
La novia cadáver,La novia cadáver
La otra cara del crimen,La otra cara del crimen
La vida de bohemia,La vida de bohemia
Las aventuras de Peabody y Sherman,Las aventuras de Peabody y Sherman
Los Increíbles,Los Increíbles
Los padres de él,Los padres de él
Lost in Translation,Lost in Translation
Mamá a la fuerza,Mamá a la fuerza
Matrix,Matrix
Melinda y Melinda,Melinda y Melinda
Mi Idaho privado,Mi Idaho privado
Mi pie izquierdo,Mi pie izquierdo
Misión: Imposible 3,Misión: Imposible 3
Mission: Impossible,Mission: Impossible
My Sassy Girl,My Sassy Girl
Más allá de la muerte,Más allá de la muerte
Norbit,Norbit
Orgullo y prejuicio,Orgullo y prejuicio
Philadelphia,Philadelphia
RoboCop,RoboCop
Réquiem por un sueño,Réquiem por un sueño
Scary Movie,Scary Movie
Spirit: El corcel indomable,Spirit: El corcel indomable
Steamboy,Steamboy
Superdetective en Hollywood,Superdetective en Hollywood
Sympathy for Mr. Vengeance,Sympathy for Mr. Vengeance
Sátántangó,Sátántangó
The Crazies,The Crazies
Titanic,Titanic
Transformers,Transformers
Troya,Troya
Un beso,Un beso
Velvet Goldmine,Velvet Goldmine
Viaje a Darjeeling,Viaje a Darjeeling
X-Men,X-Men
¡Olvídate de mí!,¡Olvídate de mí!
Érase una vez en América,Érase una vez en América
Amélie,Amelie
Walker Texas Ranger,"Walker, Texas Ranger"
Kill Bill,Kill Bill: Volumen 1
